variable_name,College,Department,classes,id,url
acct,College of Business and Economics,,,accordion,https://www.csun.edu/acctis/faculty-and-staff-directory
family_cons,Health & Human Development,,,accordion,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
nursing,Health & Human Development,,,accordion,https://www.csun.edu/nursing/faculty-staff
phys_therapy_adj,Health & Human Development,,,accordion,https://www.csun.edu/health-human-development/physical-therapy/adjunct-faculty
finance,College of Business and Economics,,,accordion,https://www.csun.edu/finance/faculty-directory
math_lect,Science and Math,,,accordion,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
math_lect,Science and Math,,,accordion,https://www.csun.edu/science-mathematics/mathematics/lecturers
asian_american_faculty,College of Humanities,,,accordion,https://www.csun.edu/humanities/asian-american-studies/faculty
asian_american_lecturers,College of Humanities,,,accordion,https://www.csun.edu/humanities/asian-american-studies/lecturers
chicano_studies_lecturers,College of Humanities,,,accordion,https://www.csun.edu/humanities/chicana-chicano-studies/lecturers
modern_classical_faculty,College of Humanities,,,accordion,https://www.csun.edu/humanities/modern-classical-languages-literatures/faculty-staff
religious_studies_faculty,College of Humanities,,,accordion,https://www.csun.edu/humanities/religious-studies/faculty
religious_studies_emeritus,College of Humanities,,,accordion,https://www.csun.edu/humanities/religious-studies/emeritus-faculty
religious_studies_lecturers,College of Humanities,,,accordion,https://www.csun.edu/humanities/religious-studies/lecturers
africana_full_time,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/africana-studies/full-time-faculty
africana_emeritus,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/africana-studies/emeriti-faculty
africana_lecturers,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/africana-studies/lecturers
anthro_full,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/anthropology/full-time-faculty
anthro_lecturers,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/anthropology/lecturers
anthro_emeritus,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/anthropology/emeritus-retired-faculty
criminal_justice,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/criminology-justice-studies/faculty-staff-directory
geo_full_time,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies/full-time-faculty
geo_lecturer,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies/lecturers
geo_emeritus,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies/emeriti-faculty
geo_affiliated,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies/affiliated-faculty
history_faculty,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/history/full-time-faculty
history_lecturers,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/history/lecturers
poli_sci_faculty,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/political-science/full-time-faculty
poli_sci_lecturers,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/political-science/lecturers
poli_sci_emeritus,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/political-science/emeriti-faculty
psy_full_time,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
psy_lecturers,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/psychology/lecturers
social_full_time,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/social-work/full-time-faculty
social_lecturers,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/social-work/lecturers
socio_full_time,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/sociology/full-time-faculty
socio_lecturers,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/sociology/lecturers
socio_emeriti,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/sociology/emeriti-faculty
urban_full_time,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/urban-studies-planning/full-time-faculty
urban_emeritus,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/urban-studies-planning/emeritus-faculty
urban_lecturers,Social & Behavioral Sciences,,,accordion,https://www.csun.edu/social-behavioral-sciences/urban-studies-planning/lecturers
journ_full_time,"Mike Curb College of Arts, Media, & Communication",,,accordion,https://www.csun.edu/mike-curb-arts-media-communication/journalism/full-time-faculty
journ_lecturers,"Mike Curb College of Arts, Media, & Communication",,,accordion,https://www.csun.edu/mike-curb-arts-media-communication/journalism/lecturers
music_full_time,"Mike Curb College of Arts, Media, & Communication",,,accordion,https://www.csun.edu/mike-curb-arts-media-communication/music/faculty-full-time
music_lecturers1,"Mike Curb College of Arts, Media, & Communication",,,accordion,https://www.csun.edu/mike-curb-arts-media-communication/music/lecturers-k
music_lecturers2,"Mike Curb College of Arts, Media, & Communication",,,accordion,https://www.csun.edu/mike-curb-arts-media-communication/music/lecturers-l-z
theater_full_time,"Mike Curb College of Arts, Media, & Communication",,,accordion,https://www.csun.edu/mike-curb-arts-media-communication/theatre/faculty
theater_lecturers,"Mike Curb College of Arts, Media, & Communication",,,accordion,https://www.csun.edu/mike-curb-arts-media-communication/theatre/lecturers
civil_eng,Engineering & Computer Science,,,accordion,https://www.csun.edu/engineering-computer-science/civil-engineering-construction-management/full-time-faculty
civil_eng_lect,Engineering & Computer Science,,,accordion,https://www.csun.edu/engineering-computer-science/civil-engineering-construction-management/lecturers
civil_eng_em,Engineering & Computer Science,,,accordion,https://www.csun.edu/engineering-computer-science/civil-engineering-construction-management/emeritus-faculty
phys_therapy,Health & Human Development,,,accordion,https://www.csun.edu/health-human-development/physical-therapy/full-time-faculty
management,College of Business and Economics,,,accordion,https://www.csun.edu/management/faculty-directory
marketing,College of Business and Economics,,,accordion,https://www.csun.edu/marketing/faculty-directory
som,College of Business and Economics,,,accordion,https://www.csun.edu/som/faculty-staff-directory
art_faculty,"Mike Curb College of Arts, Media, & Communication",,,accordion,https://www.csun.edu/mike-curb-arts-media-communication/art/faculty-staff
cine_full_time,"Mike Curb College of Arts, Media, & Communication",,,accordion,https://www.csun.edu/mike-curb-arts-media-communication/cinema-television-arts/full-time-faculty
cine_lecturer,"Mike Curb College of Arts, Media, & Communication",,,accordion,https://www.csun.edu/mike-curb-arts-media-communication/cinema-television-arts/ctva-lecturers
comp_sci,Engineering & Computer Science,,,catalog_content,https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
mech_eng,Engineering & Computer Science,,,catalog_content,https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
elect_eng,Engineering & Computer Science,,,catalog_content,https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
env_occ,Health & Human Development,,,catalog_content,https://www.csun.edu/health-human-development/environmental-occupational-health/eoh-faculty-and-part-time-lecturer
econ,College of Business and Economics,,,catalog_content,https://www.csun.edu/economics/faculty
phys_astr,Science and Math,,,catalog_content,https://www.csun.edu/science-mathematics/physics-astronomy/full-time-faculty
english_faculty_staff,College of Humanities,,,catalog_content,https://www.csun.edu/humanities/english/faculty-staff#faculty
deaf_studies,Michael D. Eisner College of Education,,,catalog_content,https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
edu_leadership,Michael D. Eisner College of Education,,,catalog_content,https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
edu_psy_counseling,Michael D. Eisner College of Education,,,catalog_content,https://www.csun.edu/eisner-education/educational-psychology-counseling/directory
special_needs,Michael D. Eisner College of Education,,,catalog_content,https://www.csun.edu/eisner-education/special-education/directory
elementary_edu,Michael D. Eisner College of Education,,,catalog_content,https://www.csun.edu/eisner-education/elementary-education/directory
secondary_edu,Michael D. Eisner College of Education,,,catalog_content,https://www.csun.edu/eisner-education/secondary-education/directory
comm_full_time,"Mike Curb College of Arts, Media, & Communication",,manual,manual,https://www.csun.edu/mike-curb-arts-media-communication/communication-studies/full-time-faculty
comm_part_time,"Mike Curb College of Arts, Media, & Communication",,manual,manual,https://www.csun.edu/mike-curb-arts-media-communication/communication-studies/part-time-faculty-0
comm_emeritus,"Mike Curb College of Arts, Media, & Communication",,manual,manual,https://www.csun.edu/mike-curb-arts-media-communication/communication-studies/emeritus-faculty
child_ad_dev,Health & Human Development,,manual,manual,https://www.csun.edu/health-human-development/child-adolescent-development/faculty
manu_sys,Engineering & Computer Science,,field-items,,https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
manu_sys_lect,Engineering & Computer Science,,field-items,,https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
manu_sys_em,Engineering & Computer Science,,field-items,,https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/emeritus-faculty
phys_therapy_pt,Health & Human Development,,field-items,,https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
rec_tour,Health & Human Development,,field-items,,https://www.csun.edu/health-human-development/recreation-tourism-management/full-time-faculty
rec_tour_lect,Health & Human Development,,field-items,,https://www.csun.edu/health-human-development/recreation-tourism-management/lecturers
biology,Science and Math,,field-items,,https://www.csun.edu/science-mathematics/biology/faculty-staff
biochem,Science and Math,,field-items,,https://www.csun.edu/science-mathematics/chemistry-biochemistry/faculty-staff
geo,Science and Math,,field-items,,https://www.csun.edu/science-mathematics/geology/full-time-faculty
geo_lect,Science and Math,,field-items,,https://www.csun.edu/science-mathematics/geology/lecturers
geo_em,Science and Math,,field-items,,https://www.csun.edu/science-mathematics/geology/emeritus-faculty
asian_american_emeritus,College of Humanities,,field-items,,https://www.csun.edu/humanities/asian-american-studies/emeritus-faculty
linguistic_faculty_staff,College of Humanities,,field-items,,https://www.csun.edu/humanities/linguistics/faculty-staff
philosophy_faculty,College of Humanities,,field-items,,https://www.csun.edu/humanities/philosophy/faculty
philosophy_lecturers,College of Humanities,,field-items,,https://www.csun.edu/humanities/philosophy/lecturers
philosophy_emeritus,College of Humanities,,field-items,,https://www.csun.edu/humanities/philosophy/emeritus-faculty
american_indian_faculty,College of Humanities,,field-items,,https://www.csun.edu/humanities/american-indian-studies/faculty-staff
comm_dis,Health & Human Development,,field-items,,https://www.csun.edu/health-human-development/communication-disorders-sciences/full-time-faculty
comm_dis_lect,Health & Human Development,,field-items,,https://www.csun.edu/health-human-development/communication-disorders-sciences/lecturers
comm_diss_em,Health & Human Development,,field-items,,https://www.csun.edu/health-human-development/communication-disorders-sciences/emeritus-faculty
health_sci,Health & Human Development,,field-items,,https://www.csun.edu/health-human-development/health-sciences/full-time-faculty
health_sci_lect,Health & Human Development,,field-items,,https://www.csun.edu/health-human-development/health-sciences/lecturers
heath_sci_adj,Health & Human Development,,field-items,,https://www.csun.edu/health-human-development/health-sciences/adjunct-faculty
health_sci_em,Health & Human Development,,field-items,,https://www.csun.edu/health-human-development/health-sciences/retired-and-emeritus-faculty
chicano_studies_faculty,College of Humanities,,field-items,,https://www.csun.edu/humanities/chicana-chicano-studies/faculty
gender_women_faculty,College of Humanities,,view-content,,https://www.csun.edu/humanities/gender-womens-studies/faculty
gender_women_lecturers,College of Humanities,,view-content,,https://www.csun.edu/humanities/gender-womens-studies/lecturers
kines,Health & Human Development,,view-content,,https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
kines_lect,Health & Human Development,,view-content,,https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
kines_em,Health & Human Development,,view-content,,https://www.csun.edu/health-human-development/kinesiology/faculty-type/Emeritus
blaw,College of Business and Economics,,view-content,,https://www.csun.edu/blaw/faculty-directory
blaw2,College of Business and Economics,,view-content,,https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=1
blaw3,College of Business and Economics,,view-content,,https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=2
central_american_faculty,College of Humanities,,view-content,,https://www.csun.edu/humanities/central-american-studies/faculty-type-photo
blaw4,College of Business and Economics,,view-content,,https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=3
